CID,카테고리명,1Depth,2Depth
51038,공학,과학,공학
51007,과학사회학(STS),과학,과학사회학(STS)
51005,과학의 이해,과학,과학의 이해
51010,과학자의 생애,과학,과학자의 생애
51002,기초과학/교양과학,과학,기초과학/교양과학
51045,농업,과학,농업
51013,뇌과학,과학,뇌과학
51022,동물과 식물,과학,동물과 식물
51024,물리학,과학,물리학
51043,발명/발견,과학,발명/발견
51275,법의학,과학,법의학
51015,생명과학,과학,생명과학
51039,세계의 불가사의,과학,세계의 불가사의
51033,수학,과학,수학
51272,의학,과학,의학
51017,인체의 이해,과학,인체의 이해
51030,지구과학,과학,지구과학
51027,천문학,과학,천문학
51035,화학,과학,화학
51052,계간지/무크,사회과학,계간지/무크
50999,교육학,사회과학,교육학
51050,국방/군사학,사회과학,국방/군사학
51008,미래학,사회과학,미래학
51046,법과 생활,사회과학,법과 생활
50992,비평/칼럼,사회과학,비평/칼럼
50995,사회문제,사회과학,사회문제
51004,사회사상/사회사상사,사회과학,사회사상/사회사상사
51001,사회운동,사회과학,사회운동
51026,사회학,사회과학,사회학
51041,언론/미디어,사회과학,언론/미디어
51037,여성학/젠더,사회과학,여성학/젠더
51016,정치학/외교학/행정학,사회과학,정치학/외교학/행정학
51011,지리학/지정학,사회과학,지리학/지정학
51048,통일/북한관계,사회과학,통일/북한관계
51021,한국정치사정/정치사,사회과학,한국정치사정/정치사
50997,환경/생태문제,사회과학,환경/생태문제
50930,과학소설(SF),소설/시/희곡,과학소설(SF)
50922,독일소설,소설/시/희곡,독일소설
50927,라이트 노벨,소설/시/희곡,라이트 노벨
52650,러시아소설,소설/시/희곡,러시아소설
50935,로맨스소설,소설/시/희곡,로맨스소설
50932,무협소설,소설/시/희곡,무협소설
50951,문학 잡지,소설/시/희곡,문학 잡지
50945,문학의 이해,소설/시/희곡,문학의 이해
50955,세계의 문학,소설/시/희곡,세계의 문학
50925,세계의 소설,소설/시/희곡,세계의 소설
50920,스페인/중남미소설,소설/시/희곡,스페인/중남미소설
50940,시,소설/시/희곡,시
50942,신춘문예작품집,소설/시/희곡,신춘문예작품집
50933,액션/스릴러소설,소설/시/희곡,액션/스릴러소설
51252,여성문학,소설/시/희곡,여성문학
50929,역사소설,소설/시/희곡,역사소설
50919,영미소설,소설/시/희곡,영미소설
50943,우리나라 옛글,소설/시/희곡,우리나라 옛글
50918,일본소설,소설/시/희곡,일본소설
50923,중국소설,소설/시/희곡,중국소설
50926,추리/미스터리소설,소설/시/희곡,추리/미스터리소설
50953,테마문학,소설/시/희곡,테마문학
50928,판타지/환상문학,소설/시/희곡,판타지/환상문학
50921,프랑스소설,소설/시/희곡,프랑스소설
50917,한국소설,소설/시/희곡,한국소설
50931,호러.공포소설,소설/시/희곡,호러.공포소설
50948,희곡,소설/시/희곡,희곡
51392,노년을 위한 에세이,에세이,노년을 위한 에세이
51380,독서에세이,에세이,독서에세이
51416,명사에세이,에세이,명사에세이
51374,명상에세이,에세이,명상에세이
51398,명언/잠언록,에세이,명언/잠언록
51391,사랑/연애 에세이,에세이,사랑/연애 에세이
51376,사진/그림 에세이,에세이,사진/그림 에세이
51375,심리치유 에세이,에세이,심리치유 에세이
51377,여행에세이,에세이,여행에세이
51842,예술에세이,에세이,예술에세이
51373,외국에세이,에세이,외국에세이
51404,유머/풍자/우화,에세이,유머/풍자/우화
51402,일기/편지,에세이,일기/편지
51394,자연에세이,에세이,자연에세이
51413,작은 이야기 모음,에세이,작은 이야기 모음
51389,종교에세이,에세이,종교에세이
51408,포켓에세이,에세이,포켓에세이
51371,한국에세이,에세이,한국에세이
70241,20대의 자기계발,자기계발,20대의 자기계발
70228,기획/보고,자기계발,기획/보고
70212,리더십,자기계발,리더십
70214,성공,자기계발,성공
70220,시간관리/정보관리,자기계발,시간관리/정보관리
70218,여성의 자기계발,자기계발,여성의 자기계발
2951,인간관계,자기계발,인간관계
107822,정리/심플라이프,자기계발,정리/심플라이프
70219,중년의 자기계발,자기계발,중년의 자기계발
70223,창의적사고/두뇌계발,자기계발,창의적사고/두뇌계발
2943,취업/진로/유망직업,자기계발,취업/진로/유망직업
70233,프레젠테이션/회의,자기계발,프레젠테이션/회의
70211,행복론,자기계발,행복론
70224,협상/설득/화술,자기계발,협상/설득/화술
70236,힐링,자기계발,힐링
76000,중학교참고서,중학교참고서,
55890,건강/취미/레저,건강/취미/레저,
17195,전집/중고전집,전집/중고전집,
13789,유아,유아,
2551,만화,만화,
2105,고전,고전,
2030,좋은부모,좋은부모,
1383,수험서/자격증,수험서/자격증,
1322,외국어,외국어,
1237,종교/역학,종교/역학,
1230,가정/요리/뷰티,가정/요리/뷰티,
1196,여행,여행,
1137,청소년,청소년,
1108,어린이,어린이,
656,인문학,인문학,
517,예술/대중문화,예술/대중문화,
351,컴퓨터/모바일,컴퓨터/모바일,
170,경제경영,경제경영,
74,역사,역사,
112011,장르소설,장르소설,
8257,대학교재/전문서적,대학교재/전문서적,
50246,초등학교참고서,초등학교참고서,
76001,고등학교참고서,고등학교참고서,
